ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
1,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,CS
2,IIT_Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,CS
3,IIT_B,G,Kharagpur,214,192.2,157,196.5,159.3,919,CS
4,IIT_ Madras,G,Chennai,208,193.1,156,196.6,159,912.8,CS
5,IIT_M,G,Kanpur,208,196.4,154,191,161.5,910.9,CS
6,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,CS
7,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,CS
8,NIT_Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,CS
9,NIT_Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,CS
10,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,CS
11,College Of Engineering Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,CS
12,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,CS
13,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,CS
14,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,CS
15,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,CS
16,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,CS
17,IIIT_A,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,CS
18,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,CS
19,VIT University,P,Vellore,137,143.8,147,152,131,710.8,CS
20,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,CS
21,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,CS
22,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,CS
23,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,CS
24,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,CS
25,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,CS
